Density,Cosine,Euclidean,Jacard,Pearson
0.01,120,172,220,213
0.0195,366,202,364,367
0.028999999999999998,437,230,446,442
0.0385,480,247,494,490
0.048,502,267,520,513
0.0575,521,277,541,541
0.06699999999999999,548,287,557,559
0.0765,560,294,575,566
0.086,570,304,588,577
0.09549999999999999,579,313,602,592
0.105,592,325,604,602
0.11449999999999999,600,334,618,609
0.12399999999999999,605,341,621,613
0.1335,613,347,624,619
0.14300000000000002,619,350,631,623
0.1525,621,356,636,626
0.162,625,360,638,629
0.1715,628,364,641,633
0.181,631,371,645,638
0.1905,634,379,650,644
0.2,640,384,652,645
0.2,640,384,652,645
0.25,651,417,661,655
0.30000000000000004,659,448,666,660
0.35000000000000003,667,478,668,668
0.4,668,498,670,668
0.45,670,509,671,670
0.5,670,520,671,671
0.55,671,543,671,671
0.6000000000000001,671,561,671,671
0.65,671,580,671,671
0.7,671,595,671,671
0.75,671,613,671,671
0.8,671,628,671,671
0.8500000000000001,671,638,73,671
0.9000000000000001,373,646,533,671
0.95,553,662,604,671
1.0,605,2,637,671
