Density,Pearson,Jacard,Cosine,Euclidean
0.05,0.21311475409836064,0.19970193740685543,0.23248882265275708,0.5961251862891207
0.1,0.10879284649776454,0.08494783904619971,0.12071535022354694,0.526080476900149
0.15,0.06259314456035768,0.046199701937406856,0.07004470938897168,0.47391952309985097
0.2,0.03576751117734724,0.028315946348733235,0.043219076005961254,0.4277198211624441
0.25,0.02384500745156483,0.014903129657228018,0.029806259314456036,0.37853949329359166
0.3,0.01639344262295082,0.007451564828614009,0.01788375558867362,0.3323397913561848
0.35,0.004470938897168405,0.004470938897168405,0.005961251862891207,0.28763040238450077
0.4,0.004470938897168405,0.0014903129657228018,0.004470938897168405,0.2578241430700447
0.45,0.0014903129657228018,0.0,0.0014903129657228018,0.2414307004470939
0.5,0.0,0.0,0.0014903129657228018,0.22503725782414308
0.55,0.0,0.0,0.0,0.19076005961251863
0.6,0.0,0.0,0.0,0.16393442622950818
0.65,0.0,0.0,0.0,0.13561847988077497
0.7,0.0,0.0,0.0,0.11326378539493294
0.75,0.0,0.0,0.0,0.08643815201192251
0.8,0.0,0.0,0.0,0.06408345752608048
